Property,repo_path,severity,tag,subtag,description
381,57feee7d5701,Medium,"Access Control, DoS",Front Run,"Anyone can front-run a transaction to deposit a small amount of assets into the dNFT position, thereby preventing the dNFT owner from removing a specific vault. The reason is that both remove() and removeKerosene() check:if (Vault(vault).id2asset(id) > 0) revert VaultHasAssets();As long as there are assets in the vault, the removal will fail. Attackers can observe transactions in the mempool and deposit 'dust' assets in advance, causing the victim's removal operation to revert."
382,57feee7d5701,Medium,"Access Control, Input Validation",Invalid Validation,"VaultManagerV2.sol::burnDyad function is missing an isDNftOwner modifier, allowing a user to burn another user’s minted DYAD"
383,57feee7d5701,Medium,DoS,"Bad Condition, Implementation Error","addKerosine() is intended to add BoundedKerosineVault and UnboundedKerosineVault to the VaultManagerV2. But since the addKerosine() check if the vault isLicensed in KerosineManager it will always revert for kerosine vaults, because in KerosineManager are stored only the exogenous vaults based on which the kerosine price is determined."
384,57feee7d5701,Medium,Liquidation,"Unfair Liquidation, Whale","The price of kerosene tokens can be manipulated instantaneously, leading to forced liquidation. The getKeroseneValue()function relies on the real-time price of the kerosene vault, which can change abruptly with user actions (depositing or withdrawing collateral). Attackers can exploit this to force other users into liquidation."
385,b78ed0629056,High,DoS,"Front Run, State Update Inconsistency","Insufficient balance prevents bridging, leading to a DoS attack on the bridge."
386,b78ed0629056,High,"Access Control, Cross-Chain, DoS","Missing Initialization, State Update Inconsistency","Anyone can send a ""remote deployment request"" to the origin chain, forcibly initializing that chain's token balance in ITSHub to zero. This can cause an underflow during cross-chain transfers, effectively preventing the origin chain from bridging tokens to other chains."
387,b78ed0629056,Medium,"Accounting Error, Cross-Chain",Rebase Token,"Axelar's cross-chain bridge does not properly handle rebasing tokens. This is because the system records a static token amount at the time of locking, while the actual token balance may change due to rebasing.
• In the case of a positive rebase (balance increases), the user may receive fewer tokens than they are entitled to, resulting in a loss for the user.
• In the case of a negative rebase (balance decreases), the system may attempt to transfer more tokens than it actually holds, causing the transaction to revert and funds to become stuck (DoS)."
388,b78ed0629056,Medium,"Access Control, Cross-Chain",Bypass Mechanism,"Due to the lack of restrictions preventing tokens and token managers from being deployed only on the origin chain, it becomes possible to gain control over transfers on other chains."
389,794c62261b8d,High,Logic error,"Incorrect Parameter, Missing Upper/Lower Bound Check","The denominator in the share calculation formula uses totalTokenBalanceStakers() (which can be manipulated by external transfers) instead of the actual effective staked assets. This allows attackers to manipulate the denominator with incorrect parameters, causing other users' shares to be calculated as 0, thereby enabling them to steal all assets."
390,794c62261b8d,Medium,Logic error,Does not match with Doc,"When interacting with UMA, the escalate() function passes BOND as the bond parameter to UMA, leading to UMA burning an additional amount based on bond/2 and charging a finalFee. This is inconsistent with the documentation specification of ""full refund of the pledge,"" ultimately resulting in higher costs for the protocol agents than expected."
391,794c62261b8d,Medium,Accounting Error,State Update Inconsistency,"In arbRestake, when redeeming arbRewardShares, it only decreases the overall stakeShares of the NFT but does not synchronize the reduction of the addressShares for the nftOwner. This leads to tokenBalanceOfAddress permanently reporting an inflated balance and accumulating errors."
392,794c62261b8d,Medium,Logic error,Bad Condition,"In updateYieldStrategy(), the use of try/catch for withdrawAll() of the original strategy is incorrectly handled by unconditionally ignoring any errors. This prevents the owner from choosing to abort the switch if the withdrawal fails."
393,1be7a2863fe1,High,"TWAP,Uniswap","Price Manipulation / Arbitrage opportunity, slot0","Reallocation depends on the slot0 price, which can be manipulated."
394,1be7a2863fe1,High,Liquidation,"Bad Condition,Bypass Mechanism","The liquidation process only checks for negative margin when the position is completely closed. This enables liquidators to bypass the compensation mechanism by leaving a very small residual position, thereby shifting the loss to the protocol."
395,1be7a2863fe1,High,Input Validation,Invalid Validation,"The reallocate() function lacks verification of liquidity ownership in scenarios involving multiple trading pairs within the same range tick, leading to incorrect transfer of liquidity between other trading pairs and disrupting internal fund accounting."
396,1be7a2863fe1,High,Liquidation,Incorrect Parameter,"During complete liquidation, the transfer source address for bad debt compensation incorrectly uses msg.sender (the market address) instead of the liquidator's address, preventing the bad debt vault from being liquidated and causing the bad debt to continue to increase."
397,1be7a2863fe1,Medium,"Flashloan,TWAP,Uniswap",slot0,"The trading price calculation relies on Uniswap's spot prices and does not take the TWAP into account, making it vulnerable to flash loan manipulation that can affect the final transaction outcome."
398,1be7a2863fe1,Medium,Accounting Error,State Update Inconsistency,"updateIRMParams() and updateFeeRatio() do not settle interest rates/fees for the current cycle before updating parameters, leading to the entire period being calculated with the new parameters, which undermines the accuracy of interest rate and fee calculations."
399,1be7a2863fe1,Medium,"Arithmetic,TWAP",Rounding Error,"The callUniswapObserve function does not implement downward rounding when handling negative tickCumulative values, resulting in a TWAP tick calculation that is too high and affecting price accuracy."
400,1be7a2863fe1,Medium,"Chainlink,Oracle",Stale Value,"The PriceFeed omits checks for both staleness and round completeness in the prices returned by Chainlink, which may cause the entire protocol to use outdated or incomplete price data."
401,1be7a2863fe1,Medium,"DoS,Liquidation",Out of Gas,"DOS attack is possible when, a malicious user creates many very small positions, which could cause excessive gas consumed and even transactions reverted when other users are trying to liquidate any of the user’s positions."
402,1be7a2863fe1,Medium,"DoS,Liquidation",Refund Failed,Vaults can become immune from liquidation by setting vault.recipient to a blacklisted quote token address
403,1be7a2863fe1,Medium,Accounting Error,Incorrect Parameter,"In reallocate(), the excess quoteToken should be returned to the redistributor, but the implementation incorrectly sets the recipient to msg.sender (the market contract), resulting in misallocated funds and losses for the redistributor."
404,1be7a2863fe1,Medium,"Arithmetic,Oracle",Token Decimal,"The PriceFeed incorrectly handles the decimal differences between price pairs, leading to distorted quotes for some trading pairs and affecting asset risk calculations."
405,1150ac69e096,High,Governance,Incorrect Parameter,"LlamaRelativeQuorum calculates the required votes for approval and disapproval when creating governance proposals by setting actionApprovalSupply / actionDisapprovalSupply to the number of role holders (getRoleSupplyAsNumberOfHolders()). However, when calculating the actual number of approved votes, it uses the quantity of each holder instead of a fixed 1 vote per holder. This results in members holding multiple tokens having an overly disproportionate influence, allowing them to prematurely meet the quorum conditions."
406,1150ac69e096,High,"Access Control,Governance",Arbitrary Add/Remove/Set/Call,"LlamaRelativeQuorum.validateActionCreation() is defined as external and does not include any authorization checks, allowing anyone to re-invoke it after an action has been created to overwrite the snapshot values of actionApprovalSupply and actionDisapprovalSupply."
407,1150ac69e096,Medium,Governance,Incorrect Parameter,"LlamaCore.executeAction() supports governance actions with msg.value, but it does not pass that value down when calling LlamaExecutor.execute(), and LlamaExecutor.execute() is also not marked as payable."
408,1150ac69e096,Medium,DoS,Bad Condition,"castDisapproval() only checks if the proposal is in the ""queued"" state in _preCastAssertions() and does not simultaneously check block.timestamp < minExecutionTime. This allows a proposal to be voted against even when it has reached the executable time, causing the proposal to immediately transition to a rejected state and resulting in a failed execution."
409,1150ac69e096,Medium,DoS,Out of Gas,A user can create 24 * 3600 * 30 ~ 2.5 mils actions to DOS a system in a month
410,b7a4028d825e,Medium,Arithmetic,Missing Upper/Lower Bound Check,"The _syncVotingPower() function is missing a lower bound check when reducing voting power, failing to verify whether the subtraction exceeds the existing voting power. This can lead to integer underflow during the subtraction, causing the transaction to revert."
411,b7a4028d825e,Medium,Governance,Invalid Validation,"The voting power calculation lacks time-weighted or holding period validation, relying solely on a single block balance snapshot for verification. This allows the governance system to be manipulated by short-term borrowing or sudden positions."
412,b7a4028d825e,Medium,"Access Control,DoS",Out of Gas,"The queryVotePower() function uses the state-modifying and high-cost findAndClear() in the kick-out process, lacking a low-cost logic for merely querying. This allows attackers to exhaust gas by processing large amounts of historical records, preventing the removal of GSC members."
413,b7a4028d825e,Medium,Governance,Missing Functionality,"The NFTBoostVault lacks a mechanism to automatically synchronize the voting power of all relevant accounts after the multiplier is updated, and it does not compute the multiplier voting power based on the block at which the proposal is created during voting. This can result in votes being erroneously calculated based on outdated multipliers."
414,b7a4028d825e,Medium,"Access Control,DoS",State Update Inconsistency,Admin is allowed to update merkleRoot. But some users won't be able to claim correct amount because of inconsistent check in claiming function.
415,b7a4028d825e,Medium,ERC20,Implementation Error,gscApprove can overwrite the approved allowance of the same spender from previously approved value
416,b7a4028d825e,Medium,Arithmetic,"Block Time / Block Number,Incorrect Parameter","The day in blocks is calculated with the block time as 13.3 seconds in CoreVoting.sol.: uint256 public constant DAY_IN_BLOCKS = 6496;, but since moving to proof of stake, block times are fixed to 12 seconds per blockThis results in an incorrect calculation of the lockDuration and extraVoteTime, which is used in setting the total duration of a proposal should be active and also the max vote time."
417,b7a4028d825e,Medium,Accounting Error,State Update Inconsistency,"The gscApprove() function, when adjusting the spender allowance, only subtracts the new amount from gscAllowance, lacking logic to synchronize the return of the remaining balance when reducing the allowance. This results in inconsistencies between gscAllowance and the ERC20 allowance status, making it impossible to lower the limit."
418,dc783f2b0ddc,Medium,"Cross-Chain,DoS",Implementation Error,"The incorrect restriction of msg.sender to axelarGateway results in legitimate cross-chain messages being unable to pass, leading to a DoS."
419,dc783f2b0ddc,Medium,MEV,Front Run,"The authorization message is not bound to a specific liquidity pool, allowing signatures to be reused in other pools with the same batch tokens, enabling malicious trades to front-run and consume the authorization."
420,dc783f2b0ddc,Medium,DoS,Implementation Error,"The contract caches the DOMAIN_SEPARATOR in the constructor without initializing name, resulting in the computed domain separator being inconsistent with the standard EIP-2612 requirements, causing the permit signature to fail verification."
421,dc783f2b0ddc,Medium,"Access Control,DoS",Invalid Validation,"The deposit and mint functions do not verify the relationship between the recipient and the caller, as well as the origin of the assets. This allows an attacker to inject small amounts of funds into another user's account, disrupting subsequent transactions and causing a denial of service (DoS)."
422,dc783f2b0ddc,Medium,Arithmetic,Rounding Error,"Due to the use of average calculations and rounding errors in calculateDepositPrice across multiple requests with different prices, _trancheTokenAmount may exceed maxMint, causing some investors to prematurely overclaim their shares. This results in subsequent users experiencing transaction failures due to insufficient quantities when claiming assets."
423,dc783f2b0ddc,Medium,Access Control,Does not match with Doc,"DelayedAdmin does not store the address of PauseAdmin and lacks a method to call removePauser, resulting in the failure of the emergency removal process for pausers as designed in the documentation, undermining the expected security model."
424,dc783f2b0ddc,Medium,"Arithmetic,ERC4626",Rounding Error,"The _calculateTrancheTokenAmount function in processWithdraw and previewWithdraw consistently uses rounding down, which violates the best practices of EIP-4626 that require rounding up for withdrawals. This may result in users consuming fewer shares than they should, leading to asset losses for the vault or incorrect calculations of remaining limits."
425,dc783f2b0ddc,Medium,Access Control,Invalid Validation,"RestrictionManager.detectTransferRestriction only checks whether the recipient address is a valid member and does not verify whether the sender's address is on the blacklist. This allows restricted accounts to freely transfer tokens, circumventing the trading restriction rules designed by the contract."
426,bc50c508bb4d,High,Logic error,Bad Condition,"The final check in deltaHedgeAmount lacks validation of the sign for tokensToSwap, resulting in negative amounts being incorrectly reversed to positive numbers when close to the position. This erroneous hedging direction can be maliciously exploited to manipulate the vault's positions."
427,bc50c508bb4d,High,Logic error,Bad Condition,"The volatility model directly combines the utilization of bull and bear market options without distinguishing between directional and premium difference conditions. This allows low-priced options trades to impact the pricing of high-priced options, creating opportunities for arbitrage."
428,bc50c508bb4d,Medium,ERC4626,Inflation Attack,Malicious users can exploit the new Smilee vault by using donations to execute a classic first depositor/ERC4626 inflation attack.
429,bc50c508bb4d,Medium,DoS,Incorrect Parameter,"Incorrect strike parameters were stored, causing subsequent burns to be unable to locate the position and permanently locking it."
430,bc50c508bb4d,Medium,DoS,Bad Condition,"Whenever swapPrice > oraclePrice, minting via PositionManager will revert, due to not enough funds being obtained from user."
431,bc50c508bb4d,Medium,Accounting Error,State Update Inconsistency,"LP can transfer their shares to another LP through ERC20 transfer. Thus, when the second LP withdraws these shares, they will not be deducted from _state.liquidity.totalDeposit. This way, _state.liquidity.totalDeposit will not reflect the actual amount of deposits, leading to various issues."
432,bc50c508bb4d,Medium,Logic error,"Implementation Error, Refund Failed","The safeTransferFrom function attempts to send funds from itself, which requires the contract to first approve itself to increase its allowance. However, there is no self-approval logic in the contract. As a result, this refund functionality fails every time. Instead, safeTransfer() should be used for refunds."
433,bc50c508bb4d,Medium,Access Control,Arbitrary Add/Remove/Set/ Call,"The FeeManager.trackVaultFee and receiveFee functions lack authorization checks, allowing any contract to impersonate the vault or DVP identity and arbitrarily increase fee records. This compromises accounting data and can lead to DVP operation rollbacks."
434,bc50c508bb4d,Medium,Logic error,Invariant Violation,"The delta calculation formula for out-of-the-money options directly returns 0, ignoring their actual price sensitivity. This leads to the vault not hedging the risks associated with such positions, violating the principle that 'traders' profits should not translate into LP losses."
435,bc50c508bb4d,Medium,DoS,Bad Condition,"The deltaHedgeAmount function uses the comparison condition sideTokensAmount/10000 to determine whether small amounts of side tokens are allowed for sale. For cases where the balance is 0 or extremely low, this condition will always fail, causing almost all IG short trades to revert under such circumstances."
436,bc50c508bb4d,Medium,ERC20,safeApprove,"In multiple functions, safeApprove() is used to set another non-zero value directly from a non-zero allowance without first setting the allowance to 0, triggering the protection checks in OpenZeppelin's SafeERC20. This results in subsequent mint/burn/sell processes being reverted."
437,c9e8bb39a8ae,Medium,Arithmetic,Inflation Attack,"In PortfolioToken.sol:_fromVirtualAfterTotalChangedForMint() the integer division div(mul(virtualAmount, realTotal), totalVirtual) causes rounding down to zero when realTotal is minimal and totalVirtual is inflated through donations, combined with automatic donation processing in _subDepositRewardsPoolCheck() that treats any contract token balance as legitimate rewards."
438,c9e8bb39a8ae,Medium,Slippage,Invalid Slippage Control / Missing slippage check,"The deposit function lacks a slippage check mechanism, which results in users minting at unfavorable ratios when the liquidity pool is unbalanced, leading to potential losses."
439,c192cb02636e,Medium,Upgradeable,Misuse of Dependency,PoolOracle utilizes vulnerable OZ 4.3.1 UUPS implementation
440,c192cb02636e,Medium,Input Validation,Invalid Validation,"The swapCallback function verifies msg.sender solely based on the result of _getPool(), without confirming whether the address corresponds to a valid pool deployed by the factory. This creates an opportunity for address collisions that can bypass the check and exhaust quota resources."
441,29aba850d512,High,Input Validation,Invalid Validation,"SignatureQueue.validateOrder checks signatures using Consensus.checkSignatures.
But this doesn't check duplication of signers, so malicious attacker can bypass threshold checking."
442,29aba850d512,High,Accounting Error,State Update Inconsistency,"The RedeemQueue batches exclude shares when processing critical timestamps, while the eligibility check still allows claims for that timestamp. This leads to inconsistencies between batch records and claim eligibility, resulting in the premature consumption of shares by legitimate users."
443,29aba850d512,High,Logic error,Missing Functionality,"The balance inquiry logic between the vault and the redemption hooks lacks handling for native tokens. By uniformly using ERC20 balanceOf, the native token withdrawal functionality becomes ineffective."
444,29aba850d512,High,Accounting Error,State Update Inconsistency,"Because during batch processing of multi-asset reports only the base asset’s timestamp is updated, protocol fees are repeatedly calculated and accumulated within the same time period, resulting in excessive fees."
445,29aba850d512,High,Accounting Error,Incorrect Formula,"The performance fee calculation formula incorrectly multiplies the price difference by the total number of shares, failing to accurately convert the fee amount based on the per-share price, resulting in calculation discrepancies."
446,29aba850d512,High,Logic error,Bypass Mechanism,"The flaws in the redemption logic design result in shares not being accounted for in fees during the processing wait time, allowing users to circumvent the intended charging mechanism."
447,29aba850d512,Medium,Logic error,"Bad Condition, Does not match with Doc","The whitelist checking logic in the updateChecks function contradicts the documentation, resulting in accounts marked as transferable being blocked instead."
448,29aba850d512,Medium,DoS,payable / receive(),ETH redemptions via SignatureRedeemQueue are broken due to missing receive function
449,29aba850d512,Medium,"Arithmetic, DoS",Rounding Error,"When recording deposited stETH amounts, the contract fails to account for the downward rounding error inherent in share-based transfers, causing the internal accounting balance to exceed the actual balance. As a result, subsequent transfers fail due to insufficient funds."
450,29aba850d512,Medium,Accounting Error,Incorrect Formula,"The protocol fee calculation in ShareModule.handleReport function suffers from exponential compounding instead of linear accumulation. When handleReport is called frequently (e.g., daily), the protocol fee is applied to the current total shares which includes all previously accrued fees, leading to higher-than-intended fee extraction."
451,29aba850d512,Medium,DoS,Incorrect Parameter,"The cancelDepositRequest() function incorrectly uses the price checkpoint index as the deposit queue index for modification, leading to an out-of-bounds index and a revert, preventing users from canceling pending deposits."
452,29aba850d512,Medium,Logic error,"Bypass Mechanism, Invariant Violation","The TokenizedShareManager._update() function only mints and locks new shares after completing the first lockup check, allowing users to immediately transfer shares that should have been locked in the same transaction, thereby circumventing the targeted lockup mechanism."
453,29aba850d512,Medium,"Input Validation, DoS",Invariant Violation,"The system lacks asset allowance checks when summarizing and extracting assets from sub-treasuries, leading to a situation where the presence of a sub-treasury holding a non-zero balance of unsupported assets triggers a revert and interrupts the redemption process."
454,29aba850d512,Medium,DoS,Bad Condition,"The protocol mints fee shares to the feeRecipient during deposits, redemptions, and protocol fee collection. However, the ShareManager.mint() function applies the targetLockup to all recipients, including the feeRecipient. Since this lock resets on every mint, a malicious user can repeatedly trigger minting operation and redeeming minimal amounts to continually reset the lock timer. As a result, the feeRecipient's shares remain perpetually locked and unusable, leading to a DOS where protocol fees become inaccessible."
455,29aba850d512,Medium,ERC20,Rebase Token,"The contract does not handle stETH rebase rewards during the waiting period in the deposit queue, resulting in excess assets being stuck in the queue."
456,4bea68ae8bc5,High,Accounting Error,Implementation Error,"Design intended to add only the new shortfall to the existing shortfall, but implementation added the existing shortfall twice, causing double-counting."
457,4bea68ae8bc5,High,Oracle,Stale Value,"withdrawTo checks collateral margin using maintenanceInvariant without first syncing the oracle price, allowing margin checks to pass based on outdated price data and enabling withdrawals from undercollateralized positions."
458,4bea68ae8bc5,Medium,Input Validation,Invalid Validation,"Collateral contract does not verify that a given product address was deployed by the factory, allowing attackers to register malicious products that bypass margin requirements and steal collateral."
459,4bea68ae8bc5,Medium,Access Control,Missing Initialization,"The Collateral.initialize function lacks an initializer check, allowing multiple initializations and enabling attackers to run malicious setup before the legitimate factory configuration."
460,4bea68ae8bc5,Medium,Chainlink,Stale Value,Chainlink’s latestRoundData might return stale or incorrect results
461,ac5c6d4a2ace,High,Logic Error,Bad Condition,"When encountering a non-existent token config, it will always return the token config of the first index (index 0) which is a valid token config for a completely different token."
462,ac5c6d4a2ace,High,Logic Error,Bad Condition,Incorrectly using uint(-1) as a non-existent comparison value.
463,ac5c6d4a2ace,Medium,Flashloan,"Reward Manipulation,Whale","The rewards per market are proportional to their totalBorrows which can be changed by a large holder who deposits lots of collateral, takes out a huge borrow in the market, updates the rewards, and then unwinds the position."
464,fccd852beaa3,High,"DoS,ERC20,Opensea",Refund Failed,"The Create contract fails to validate extra ERC20 tokens (tips) added to Seaport order fulfillment. Attackers can append a malicious ERC20 token that always reverts on transfer, causing the rented asset to be permanently locked inside the rental safe."
465,fccd852beaa3,High,"Gnosis safe,Input Validation","Bypass Mechanism,Invalid Validation,Invariant Violation","The gnosis guard doesn't have any validation or checks for the address parameter of the function setFallbackHandler(address handler), which is the function used by the rental safe owner to set a fallback handler his safe."
466,fccd852beaa3,High,"ERC1155,Reentrancy",Violating CEI / Missing nonReentrant,"reNFT does not register the rental except after swapping the tokens, in addition to safeTransferFrom() being used to transfer ERC1155 tokens, which would of course, trigger the callback function onERC1155Receive() on the borrower's safe."
467,fccd852beaa3,High,Logic Error,Incorrect Parameter,"The gnosis_safe_disable_module_offset constant was incorrectly specified to point at an incorrect function parameter of the disableModule(address prevModule, address module)."
468,fccd852beaa3,High,ERC1155,"Asset Theft,Invalid Validation","Specifically, the offset constant will point at the prevModule (1st param) instead of the module (2nd param)."
469,fccd852beaa3,High,"Accounting Error,Input Validation,Opensea","Asset Theft,Invalid Validation","The EIP-712 RentalOrder hash derivation does not include the rentalWallet field, enabling attackers to reuse or spoof valid order hashes. The stopRent validation logic is insufficiently strict, allowing any user matching the lender field to stop an order without verifying whether it actually exists or was fulfilled properly."
470,fccd852beaa3,High,"DoS,Input Validation","Invalid Validation,Nonce","The attacker exploits SeaPort's skip-on-same-address logic to create fake rentals that update escrow balances without real transfers, enabling ERC20 theft upon rent termination."
471,fccd852beaa3,Medium,"DoS,ERC1155",Bad Condition,"An attacker can exploit partial fills to reuse the same order hash, causing only part of the lender’s assets to be released, while the rest remain locked and unstoppably rented."
472,fccd852beaa3,Medium,"Access Control,Input Validation",Asset Theft,"A malicious lender can indefinitely freeze a borrower’s ERC1155 tokens by preventing rental finalization, exploiting the guard's inability to distinguish rented vs. non-rented tokens of the same tokenId."
473,fccd852beaa3,Medium,DoS,Out of Gas,A malicious borrower can exploit the permit() function in ERC-721 tokens to self-authorize transfers and steal rented NFTs from the rental safe.
474,fccd852beaa3,Medium,DoS,Bad Condition,"Large rental orders can exceed the block gas limit when calling stopRent(), making them impossible to stop and permanently locking assets in the protocol."
475,fccd852beaa3,Medium,"DoS,ERC777",ERC777 Callback,"Disabling the onStop hook after rental creation causes stopRent() to revert, resulting in a DoS condition where assets and funds remain locked indefinitely."
476,fccd852beaa3,Medium,"ERC777,Reentrancy","ERC777 Callback,Violating CEI / Missing nonReentrant","If an ERC777 token is used for payment, a malicious renter can revert in the tokensReceived() hook during stopRent(), causing a DoS where the lender's assets remain permanently locked."
477,fccd852beaa3,Medium,"DoS,Upgradeable",No Recovery Mechanism,stoprent does not follow CEI pattern and subject to reentrancy nft lender reentrancy
478,fccd852beaa3,Medium,ERC721,Invalid Validation,"After a module upgrade, rentals created pre-upgrade can't be stopped, causing permanent asset lock-in due to missing state and fund migration from the old module."
479,fccd852beaa3,Medium,DoS,Bad Condition,"Guard.sol fails to block burn, burnFrom, and permit calls, allowing a renter to destroy or hijack rented NFTs and bypass protocol safeguards."
480,fccd852beaa3,Medium,"Input Validation,Upgradeable",Invalid Validation,"The Guard::checkTransaction enforces a 4-byte minimum data length, blocking native ETH transfers with empty calldata, and causing ETH to be permanently stuck in safes."
481,fccd852beaa3,Medium,EIP712,Not EIP Compliant,"After a guard policy upgrade, rental safes can continue using outdated Guard.sol, bypassing new restrictions and compromising security enforcement."
482,fccd852beaa3,Medium,"DoS,ERC1155,ERC721",State Update Inconsistency,"It fails to hash dynamic types like bytes using keccak256, mistakenly uses abi.encode instead of abi.encodePacked, and omits required fields in struct hashing."
483,fccd852beaa3,Medium,"Input Validation,Replay Attack","Invalid Validation,Nonce",Guard.sol does not account for burnable & pausable tokens (which are quite common as well). This means lenders could lose such assets if the renter acts maliciously.
484,fccd852beaa3,Medium,"DoS,ERC721",onERC721Received callback,In the function validateOrder there is no way to verify whether the signature from backend signer is being reused / more importantly no way to verify that this signature was signed to rent out this particular order.
485,fccd852beaa3,Medium,ERC20,Refund Failed,"A malicious lender can make the NFT return fail via safeTransferFrom reverts, blocking stopRent() and griefing the renter out of their payment."
486,fccd852beaa3,Medium,"Access Control,Gnosis safe",Cannot Revoke,"If a blocklisted account receives ERC20 payment during stopRent(), the transfer reverts, leaving the NFT stuck in the Safe and the rental unclosable."
487,668a8ea1ed7c,Medium,Access Control,Bypass Mechanism,"The blacklist mechanism does not check restrictions within the transaction process, only applying to the current balance. This allows sanctioned accounts to bypass the limitations and continue trading."
488,668a8ea1ed7c,Medium,Bridge,Hardcoded Parameter,"PREDICATE_ADDRESS is hardcoded to a fixed ERC20Predicate address, preventing dynamic retrieval of the correct predicate based on tokenType or external changes. This results in an inability to bridge tokens from different predicates, lacking adaptability."
489,529b81f6eb01,Medium,Oracle,Stale Value,"The protocol uses Pyth's getPriceUnsafe() to obtain prices and only checks if the value is greater than 0, lacking an expiry check. This allows outdated and potentially manipulatable prices to enter the liquidation logic, resulting in financial losses for borrowers."
490,9007dfde367e,High,Slippage,Invalid Slippage Control / Missing slippage check,"The slippage protection threshold was incorrectly based on the OP-to-USD/ETH price instead of the actual alUSD/alETH trading pair price, resulting in an inaccurate minimum trade size threshold and exposure to sandwich attacks."
491,347d893744f1,Medium,Accounting Error,State Update Inconsistency,"During initialization, there was no check to verify whether lpToken0 or lpToken1 was the same as output, which caused the trading fees accumulated during liquidity removal to be incorrectly counted toward the liquidity position and re-added. This resulted in LP rewards and fee distribution states being inconsistent with the actual assets."
492,8ce9aae8427c,Medium,Arithmetic,Precision Loss,"AutomationMaster._getExchangeRate uses 1e8 fixed‑point calculation and integer division. When the ratio between the high‑price token and the low‑price token is less than 1e‑8, the result is truncated to zero, causing the minAmountReceived check to fail and allowing a malicious keeper to steal order funds."
493,f3d2dbfd99ea,Medium,"DoS, Arithmetic",Incorrect Formula,"_calculateMaxBorrowCollateral subtracts unutilizedLeveragePercentage when calculating the maximum borrow collateral limit, causing an underflow and revert, which prevents the repay function from executing and subsequently triggers token liquidation."
494,edf1b6dd23d6,High,"Input Validation, call / delegatecall",Invalid Validation,"In ExchangeProxy.executeSwapDirect(...) function, user can pass in arbitrary _data. It's not validated to make sure this swap used exactly _amount tokenIn. In addition, fee of previous swaps is kept in ExchangeProxy. So attacker can steal these fee to do the swap."
495,edf1b6dd23d6,Medium,Reentrancy,Violating CEI / Missing nonReentrant,Lack of nonReentrant or strict Checks‑Effects‑Interactions (CEI) execution flow control allows re‑entering the original function during the swap process to reclaim fees that should have been paid.
496,6a503b3dea2b,Medium,DoS,Incorrect Parameter,"Parameter misuse caused the contract to use days instead of the withdrawal amount for validation, leading to a withdrawal DoS."
497,33f83c1b20b8,High,Access Control,Invalid Validation,Missing access control allows anyone to take ownership of another CuteBody. 
